维度细分,实时因子名,授信因子名（离线推送至实时）,趋势类二次衍生,数值类型,解释,上线时间
Advance多头,idn_adv_id_inq_pcnt_30d,idn_adv_id_inq_pcnt_30d_c,idn_adv_id_inq_pcnt_30d_diff,double,身份证号在过去30天内的查询机构数,2025-06
Advance多头,idn_adv_id_inq_pcnt_60d,idn_adv_id_inq_pcnt_60d_c,idn_adv_id_inq_pcnt_60d_diff,double,身份证号在过去60天内的查询机构数,2025-06
Advance多头,idn_adv_id_inq_pcnt_90d,idn_adv_id_inq_pcnt_90d_c,idn_adv_id_inq_pcnt_90d_diff,double,身份证号在过去90天内的查询机构数,2025-06
Advance多头,idn_adv_id_inq_pcnt_180d,idn_adv_id_inq_pcnt_180d_c,idn_adv_id_inq_pcnt_180d_diff,double,身份证号在过去180天内的查询机构数,2025-06
Advance多头,idn_adv_id_inq_pcnt_360d,idn_adv_id_inq_pcnt_360d_c,idn_adv_id_inq_pcnt_360d_diff,double,身份证号在过去360天内的查询机构数,2025-06
Advance多头,idn_adv_id_inq_a_pcnt_24h,idn_adv_id_inq_a_pcnt_24h_c,idn_adv_id_inq_a_pcnt_24h_diff,double,身份证号在过去24小时内的查询机构数(A类),2025-06
Advance多头,idn_adv_id_inq_a_pcnt_3d,idn_adv_id_inq_a_pcnt_3d_c,idn_adv_id_inq_a_pcnt_3d_diff,double,身份证号在过去3天内的查询机构数(A类),2025-06
Advance多头,idn_adv_id_inq_a_pcnt_7d,idn_adv_id_inq_a_pcnt_7d_c,idn_adv_id_inq_a_pcnt_7d_diff,double,身份证号在过去7天内的查询机构数(A类),2025-06
Advance多头,idn_adv_id_inq_a_pcnt_14d,idn_adv_id_inq_a_pcnt_14d_c,idn_adv_id_inq_a_pcnt_14d_diff,double,身份证号在过去14天内的查询机构数(A类),2025-06
Advance多头,idn_adv_id_inq_a_pcnt_21d,idn_adv_id_inq_a_pcnt_21d_c,idn_adv_id_inq_a_pcnt_21d_diff,double,身份证号在过去21天内的查询机构数(A类),2025-06
Advance多头,idn_adv_id_inq_a_pcnt_30d,idn_adv_id_inq_a_pcnt_30d_c,idn_adv_id_inq_a_pcnt_30d_diff,double,身份证号在过去30天内的查询机构数(A类),2025-06
Advance多头,idn_adv_id_inq_a_pcnt_60d,idn_adv_id_inq_a_pcnt_60d_c,idn_adv_id_inq_a_pcnt_60d_diff,double,身份证号在过去60天内的查询机构数(A类),2025-06
Advance多头,idn_adv_id_inq_a_pcnt_90d,idn_adv_id_inq_a_pcnt_90d_c,idn_adv_id_inq_a_pcnt_90d_diff,double,身份证号在过去90天内的查询机构数(A类),2025-06
Advance多头,idn_adv_id_inq_a_pcnt_180d,idn_adv_id_inq_a_pcnt_180d_c,idn_adv_id_inq_a_pcnt_180d_diff,double,身份证号在过去180天内的查询机构数(A类),2025-06
Advance多头,idn_adv_id_inq_a_pcnt_360d,idn_adv_id_inq_a_pcnt_360d_c,idn_adv_id_inq_a_pcnt_360d_diff,double,身份证号在过去360天内的查询机构数(A类),2025-06
Advance多头,idn_adv_id_inq_b_pcnt_24h,idn_adv_id_inq_b_pcnt_24h_c,idn_adv_id_inq_b_pcnt_24h_diff,double,身份证号在过去24小时内的查询机构数(B类),2025-06
Advance多头,idn_adv_id_inq_b_pcnt_3d,idn_adv_id_inq_b_pcnt_3d_c,idn_adv_id_inq_b_pcnt_3d_diff,double,身份证号在过去3天内的查询机构数(B类),2025-06
Advance多头,idn_adv_id_inq_b_pcnt_7d,idn_adv_id_inq_b_pcnt_7d_c,idn_adv_id_inq_b_pcnt_7d_diff,double,身份证号在过去7天内的查询机构数(B类),2025-06
Advance多头,idn_adv_id_inq_b_pcnt_14d,idn_adv_id_inq_b_pcnt_14d_c,idn_adv_id_inq_b_pcnt_14d_diff,double,身份证号在过去14天内的查询机构数(B类),2025-06
Advance多头,idn_adv_id_inq_b_pcnt_21d,idn_adv_id_inq_b_pcnt_21d_c,idn_adv_id_inq_b_pcnt_21d_diff,double,身份证号在过去21天内的查询机构数(B类),2025-06
Advance多头,idn_adv_id_inq_b_pcnt_30d,idn_adv_id_inq_b_pcnt_30d_c,idn_adv_id_inq_b_pcnt_30d_diff,double,身份证号在过去30天内的查询机构数(B类),2025-06
Advance多头,idn_adv_id_inq_b_pcnt_60d,idn_adv_id_inq_b_pcnt_60d_c,idn_adv_id_inq_b_pcnt_60d_diff,double,身份证号在过去60天内的查询机构数(B类),2025-06
Advance多头,idn_adv_id_inq_b_pcnt_90d,idn_adv_id_inq_b_pcnt_90d_c,idn_adv_id_inq_b_pcnt_90d_diff,double,身份证号在过去90天内的查询机构数(B类),2025-06
Advance多头,idn_adv_id_inq_b_pcnt_180d,idn_adv_id_inq_b_pcnt_180d_c,idn_adv_id_inq_b_pcnt_180d_diff,double,身份证号在过去180天内的查询机构数(B类),2025-06
Advance多头,idn_adv_id_inq_b_pcnt_360d,idn_adv_id_inq_b_pcnt_360d_c,idn_adv_id_inq_b_pcnt_360d_diff,double,身份证号在过去360天内的查询机构数(B类),2025-06
izi多头,idn_izi_id_inq_pcnt_24h,idn_izi_id_inq_pcnt_24h_c,idn_izi_id_inq_pcnt_24h_diff,double,过去24小时内涉及的不同平台数量,2025-06
izi多头,idn_izi_id_inq_pcnt_3d,idn_izi_id_inq_pcnt_3d_c,idn_izi_id_inq_pcnt_3d_diff,double,过去3天内涉及的不同平台数量,2025-06
izi多头,idn_izi_id_inq_pcnt_7d,idn_izi_id_inq_pcnt_7d_c,idn_izi_id_inq_pcnt_7d_diff,double,过去7天内涉及的不同平台数量,2025-06
izi多头,idn_izi_id_inq_pcnt_14d,idn_izi_id_inq_pcnt_14d_c,idn_izi_id_inq_pcnt_14d_diff,double,过去14天内涉及的不同平台数量,2025-06
izi多头,idn_izi_id_inq_pcnt_21d,idn_izi_id_inq_pcnt_21d_c,idn_izi_id_inq_pcnt_21d_diff,double,过去21天内涉及的不同平台数量,2025-06
izi多头,idn_izi_id_inq_pcnt_30d,idn_izi_id_inq_pcnt_30d_c,idn_izi_id_inq_pcnt_30d_diff,double,过去30天内涉及的不同平台数量,2025-06
izi多头,idn_izi_id_inq_pcnt_60d,idn_izi_id_inq_pcnt_60d_c,idn_izi_id_inq_pcnt_60d_diff,double,过去60天内涉及的不同平台数量,2025-06
izi多头,idn_izi_id_inq_pcnt_90d,idn_izi_id_inq_pcnt_90d_c,idn_izi_id_inq_pcnt_90d_diff,double,过去90天内涉及的不同平台数量,2025-06
izi多头,idn_izi_id_inq_pcnt_180d,idn_izi_id_inq_pcnt_180d_c,idn_izi_id_inq_pcnt_180d_diff,double,过去180天内涉及的不同平台数量,2025-06
izi多头,idn_izi_id_inq_pcnt_360d,idn_izi_id_inq_pcnt_360d_c,idn_izi_id_inq_pcnt_360d_diff,double,过去360天内涉及的不同平台数量,2025-06
izi多头,idn_izi_id_inq_a_pcnt_24h,idn_izi_id_inq_a_pcnt_24h_c,idn_izi_id_inq_a_pcnt_24h_diff,double,过去24小时内类型A查询的不同平台数量,2025-06
izi多头,idn_izi_id_inq_a_pcnt_3d,idn_izi_id_inq_a_pcnt_3d_c,idn_izi_id_inq_a_pcnt_3d_diff,double,过去3天内类型A查询的不同平台数量,2025-06
izi多头,idn_izi_id_inq_a_pcnt_7d,idn_izi_id_inq_a_pcnt_7d_c,idn_izi_id_inq_a_pcnt_7d_diff,double,过去7天内类型A查询的不同平台数量,2025-06
izi多头,idn_izi_id_inq_a_pcnt_14d,idn_izi_id_inq_a_pcnt_14d_c,idn_izi_id_inq_a_pcnt_14d_diff,double,过去14天内类型A查询的不同平台数量,2025-06
izi多头,idn_izi_id_inq_a_pcnt_21d,idn_izi_id_inq_a_pcnt_21d_c,idn_izi_id_inq_a_pcnt_21d_diff,double,过去21天内类型A查询的不同平台数量,2025-06
izi多头,idn_izi_id_inq_a_pcnt_30d,idn_izi_id_inq_a_pcnt_30d_c,idn_izi_id_inq_a_pcnt_30d_diff,double,过去30天内类型A查询的不同平台数量,2025-06
izi多头,idn_izi_id_inq_a_pcnt_60d,idn_izi_id_inq_a_pcnt_60d_c,idn_izi_id_inq_a_pcnt_60d_diff,double,过去60天内类型A查询的不同平台数量,2025-06
izi多头,idn_izi_id_inq_a_pcnt_90d,idn_izi_id_inq_a_pcnt_90d_c,idn_izi_id_inq_a_pcnt_90d_diff,double,过去90天内类型A查询的不同平台数量,2025-06
izi多头,idn_izi_id_inq_a_pcnt_180d,idn_izi_id_inq_a_pcnt_180d_c,idn_izi_id_inq_a_pcnt_180d_diff,double,过去180天内类型A查询的不同平台数量,2025-06
izi多头,idn_izi_id_inq_a_pcnt_360d,idn_izi_id_inq_a_pcnt_360d_c,idn_izi_id_inq_a_pcnt_360d_diff,double,过去360天内类型A查询的不同平台数量,2025-06
izi多头,idn_izi_id_inq_b_pcnt_24h,idn_izi_id_inq_b_pcnt_24h_c,idn_izi_id_inq_b_pcnt_24h_diff,double,过去24小时内类型B涉及的不同平台数量,2025-06
izi多头,idn_izi_id_inq_b_pcnt_3d,idn_izi_id_inq_b_pcnt_3d_c,idn_izi_id_inq_b_pcnt_3d_diff,double,过去3天内类型B涉及的不同平台数量,2025-06
izi多头,idn_izi_id_inq_b_pcnt_7d,idn_izi_id_inq_b_pcnt_7d_c,idn_izi_id_inq_b_pcnt_7d_diff,double,过去7天内类型B涉及的不同平台数量,2025-06
izi多头,idn_izi_id_inq_b_pcnt_14d,idn_izi_id_inq_b_pcnt_14d_c,idn_izi_id_inq_b_pcnt_14d_diff,double,过去14天内类型B涉及的不同平台数量,2025-06
izi多头,idn_izi_id_inq_b_pcnt_21d,idn_izi_id_inq_b_pcnt_21d_c,idn_izi_id_inq_b_pcnt_21d_diff,double,过去21天内类型B涉及的不同平台数量,2025-06
izi多头,idn_izi_id_inq_b_pcnt_30d,idn_izi_id_inq_b_pcnt_30d_c,idn_izi_id_inq_b_pcnt_30d_diff,double,过去30天内类型B涉及的不同平台数量,2025-06
izi多头,idn_izi_id_inq_b_pcnt_60d,idn_izi_id_inq_b_pcnt_60d_c,idn_izi_id_inq_b_pcnt_60d_diff,double,过去60天内类型B涉及的不同平台数量,2025-06
izi多头,idn_izi_id_inq_b_pcnt_90d,idn_izi_id_inq_b_pcnt_90d_c,idn_izi_id_inq_b_pcnt_90d_diff,double,过去90天内类型B涉及的不同平台数量,2025-06
izi多头,idn_izi_id_inq_b_pcnt_180d,idn_izi_id_inq_b_pcnt_180d_c,idn_izi_id_inq_b_pcnt_180d_diff,double,过去180天内类型B涉及的不同平台数量,2025-06
izi多头,idn_izi_id_inq_b_pcnt_360d,idn_izi_id_inq_b_pcnt_360d_c,idn_izi_id_inq_b_pcnt_360d_diff,double,过去360天内类型B涉及的不同平台数量,2025-06
